9112024171626;4;9/11/2024 17:16:26;555
9112024182720;4;9/11/2024 18:27:20;555
9112024184638;3;9/11/2024 18:46:38;555
9112024192204;3;9/11/2024 19:22:04;1589
9112024192915;5;9/11/2024 19:29:15;1256
9112024193118;4;9/11/2024 19:31:18;555
10112024191001;2;10/11/2024 19:10:01;125
10112024192742;-1;10/11/2024 19:27:42;125
10112024192754;-5;10/11/2024 19:27:54;555
10112024194844;1;10/11/2024 19:48:44;125
10112024194857;-3;10/11/2024 19:48:57;125
10112024200539;-1;10/11/2024 20:05:39;125
18112024120405;2;18/11/2024 12:04:05;1234
18112024133945;0;18/11/2024 13:39:45;1234
20112024194845;-13;20/11/2024 19:48:45;555
20112024222315;4;20/11/2024 22:23:15;1234
